Property_Type,Energy_Rating,Energy_Score,Gross_Floor_Area_Buildings_SQ_FT,No_of_Buildings,Electricity_Use_kBtu,Natural_Gas_Use_kBtu,District_Steam_Use_kBtu,District_Chilled_Water_Use_kBtu,Site_EUI_kBtu_per_sq_ft,Source_EUI_kBtu_per_sq_ft,Weather_Normalized_Site_EUI_kBtu_per_sq_ft,Weather_Normalized_Source_EUI_kBtu_per_sq_ft,Total_GHG_Emissions_Metric_Tons_CO2e,GHG_Intensity_kg_CO2e_per_sq_ft
Multifamily Housing,3.5,53,448591,1,13631267.6,20806818.1,0,0,76.8,133.8,80,136,3052.1,6.8
Multifamily Housing,4,65,1132600,1,39335412.6,0,0,0,39.8,111.5,42.7,119.5,5618.1,5.7
Multifamily Housing,4,84,255321,1,7609674.4,2863599.7,0,0,45.8,106.4,49.4,114.2,1239,5.4
Multifamily Housing,4,82,553150,1,8696191.7,28767039.3,0,0,75.4,109.8,81.3,114.8,2770,5.6
Multifamily Housing,4,100,330099,2,2402699,6608363.3,0,0,27.3,41.4,28.9,43,694.2,2.1
Multifamily Housing,1,22,440398,1,11281116.1,21947001.2,0,11157204.2,108.1,157.8,111,161.1,3364.9,8.2
Multifamily Housing,1,30,898001,2,25643660.5,36793120.5,0,0,83.2,147.2,87.8,150.5,5616.9,7.5
Multifamily Housing,4,75,344323,1,8352825.1,6806074.3,0,0,54.6,109.9,53.9,108,1554.5,5.6
Multifamily Housing,3.5,74,280100,1,3946929.9,16023487,0,0,75.9,106,82.2,111.7,1414.8,5.4
Multifamily Housing,1,28,582000,1,13335280,42296543.6,0,0,99,145.5,108.8,154.2,4151.2,7.4
Multifamily Housing,4,91,650925,1,7989218.5,20903799.1,0,0,56.2,86.2,60.4,90.1,2251.4,4.4
Multifamily Housing,4,100,335000,1,9246178.8,15675209.9,0,0,81.3,138.1,86,142.3,2153.2,7
Multifamily Housing,4,95,329554,1,3450132.5,10648443.4,0,0,53.8,79.6,56.4,80.6,1058.4,4
Multifamily Housing,4,92,540275,1,11377457.3,9669845.6,0,0,50.3,100.4,49.6,98.5,2138.6,5.1
Multifamily Housing,4,92,608132,1,5852996,27139342.4,0,0,69.1,94.1,76,101.3,2277.5,4.8
Multifamily Housing,3.5,53,449653,1,11492121,12847883.6,0,0,65.7,123.2,67.9,125.5,2323.8,6.3
Multifamily Housing,4,87,232300,1,3968295.9,6815512.7,0,0,49.3,83.6,51.6,84.8,928.8,4.2
Multifamily Housing,4,100,748762,1,7721444.7,20866689.2,0,0,45.8,69.8,48.5,71.5,2211.2,3.5
Multifamily Housing,1,14,326810,1,5973419.1,15823283,0,8496587.9,126.1,170.9,126.5,172.3,0,0
Multifamily Housing,1,30,322050,1,5895813.2,24107351.9,0,0,101.7,141.7,112.5,152.1,2122.5,7.2
Multifamily Housing,1,28,841880,1,14972053.9,62269169.7,0,0,99.1,137.7,107.5,146.5,5445.8,7
Multifamily Housing,1,18,498623,1,13968864.5,16304926.8,0,3809315.9,85.5,149.8,88.5,154.5,0,0
Multifamily Housing,1,11,649737,1,15585401.8,32202499.3,0,0,118.5,192.1,127.1,201.1,3936.4,9.8
Multifamily Housing,1,27,383216,1,7712600.8,26388083.2,0,0,108.8,157.3,117.4,164.5,2503.2,8
Multifamily Housing,2.5,59,239468,1,8376286,0,0,0,43,120.4,45,126,1196.4,6.1
Multifamily Housing,2.5,59,161864,1,2179283.6,11448345.4,0,0,95.4,126.8,103.6,134.4,919.3,6.4
Multifamily Housing,2,42,518308,1,9407313.9,30225856.9,0,0,89.9,131.7,98.9,140.2,2949.1,6.7
Multifamily Housing,2.5,52,1135720,2,26483654,21800863.1,0,0,58.1,116.8,57.8,114,4940.5,5.9
Multifamily Housing,1,26,291682,1,4905555.2,13773639.8,0,4915224.2,111.2,154,116.1,159.5,1691.3,8
Multifamily Housing,3,46,315738,1,7343535,18990338.1,0,0,89.8,138.2,96.5,143.7,2057.5,7
Multifamily Housing,3,44,444207,1,10245935.7,14593926.4,0,0,87,154.1,91.5,157.8,2238.5,7.8
Multifamily Housing,1.5,33,482000,1,7436358.5,31974099.4,0,0,98.5,136,94.8,131.3,2760.4,6.9
Multifamily Housing,2,49,802292,1,15848490.9,57527382.7,0,0,98.9,141.2,105.4,146.7,5319.1,7.2
Multifamily Housing,4,76,1361500,1,21880221.1,57045833.8,0,0,71.1,109.2,75.1,112.7,6155.1,5.5
Multifamily Housing,3,47,518310,1,7026846.8,39949798,0,0,110.4,144.8,120,153.4,3125.5,7.3
Multifamily Housing,3,47,194910,1,3264891.6,13908045.9,0,0,88.1,121.8,97.7,131.9,1205,6.2
Multifamily Housing,3,62,330096,1,6480073.8,17905172.6,0,0,74.7,113.1,80.5,119.3,1876.6,5.7
Multifamily Housing,4,96,1945838,1,38319421.4,31883003.7,0,0,42.6,85.4,44.7,87.4,7166.5,4.3
Multifamily Housing,3.5,55,298653,1,5076046,16923766.4,0,0,91.1,132.4,98.7,139.8,1623.9,6.7
Multifamily Housing,1,17,331127,1,12006667.6,9181878.9,0,0,71.5,145.9,75.1,151.4,2202.6,7.4
Multifamily Housing,3,64,242000,1,5441689.6,13738550.5,0,0,79.3,122.6,85.1,126.9,1506.9,6.2
Multifamily Housing,3.5,55,903456,1,19337278,35910310.1,0,0,72.8,121.1,75.9,122.4,4669.2,6.2
Multifamily Housing,2,46,1122828,1,32300445.2,22092652.3,0,0,53.9,112.5,55.5,114.2,5786.8,5.7
Multifamily Housing,1.5,31,409326,1,8615252.2,19739398.5,0,0,95.7,151.3,102.7,158.2,2278.9,7.7
Multifamily Housing,1.5,40,892791,1,19531007.9,45332997,0,0,88.3,139.3,94.8,144.8,5197.4,7.1
Multifamily Housing,2,47,732456,2,13357079.2,42380426.6,0,0,89.5,131.5,95.6,136,4158.8,6.7
Mixed Use Property,3,43,2612396,1,108435577.8,17911159.2,0,0,59.4,151.7,60.4,153.9,16438.8,7.7
Multifamily Housing,1.5,34,1193156,1,22375353.5,74492524.9,0,0,97.9,142.4,104.5,149.4,7152.4,7.2
Multifamily Housing,2,50,441181,1,12570606.4,12367048.6,0,0,61.9,119.6,64.6,123,2452.3,6.1
Multifamily Housing,3,45,456057,1,13444716.5,11637332.2,0,0,66.1,131.4,68.9,134.8,2538.4,6.7
Multifamily Housing,4,88,391234,1,5623487.8,20310234.2,0,0,66.3,94.8,71.4,100.2,1882,4.8
Multifamily Housing,1,11,333000,1,7018668.2,36164896.7,0,0,132.9,177.3,129.1,172.4,2923.3,9
Multifamily Housing,2,44,181727,1,3622329.3,7913899.8,0,0,93.6,149.7,100.4,155.7,937.7,7.6
Multifamily Housing,4,69,350800,1,5710190.1,19614350.6,0,0,87.9,127,90.9,129,1857.4,6.4
Multifamily Housing,4,86,684299,1,12114022.8,25282491.2,0,0,70.7,114.4,74.1,116.6,3073.1,5.8
Multifamily Housing,4,63,640423,1,12172699,22844938.6,0,0,77.4,128.4,81.5,131.9,2952,6.5
Multifamily Housing,4,94,468371,1,5994447.3,13153029.2,0,0,45.8,73.1,47.6,73.4,1554.8,3.7
Multifamily Housing,4,92,470214,1,7562588.8,13762046.4,0,0,58.3,97.4,61.7,100.4,1811.1,5
Multifamily Housing,3.5,72,260297,1,2711031.6,16921026.1,0,0,83.6,107.9,91,114.5,1286,5.5
Multifamily Housing,3.5,80,340015,1,6610101.7,9670563.2,0,0,54.3,95.5,56.3,96.3,1457.7,4.9
Multifamily Housing,3,65,847443,2,12423446.8,44135339.4,0,0,78.3,112.3,84.8,117.6,4118.6,5.7
Multifamily Housing,2,48,561880,1,12431471.9,27760278.2,0,0,85,135.2,91,139.7,3250,6.9
Multifamily Housing,1,3,332950,1,8745307.4,17610643.2,0,6518915.1,134.3,199.8,137.4,204.5,0,0
Multifamily Housing,3,70,537033,1,11187736.5,19035993.3,0,0,72.1,122.4,75.1,123.5,2609,6.2
Multifamily Housing,3,45,672000,1,22447090.8,11257413.4,0,0,57.3,127,59.5,131.2,3804,6.5
Multifamily Housing,2.5,57,809005,1,18978485.7,30324868.4,0,0,75.7,130.5,81.3,137.2,4321.3,6.6
Multifamily Housing,3,69,819946,1,18580847.8,41683154.9,0,0,101.8,161.8,106.4,166.7,4867.8,8.2
Multifamily Housing,3,47,434100,1,8978347,17975624.6,0,0,83.4,136.3,89.3,142.4,2237.1,6.9
Multifamily Housing,2.5,55,437588,1,9561454.4,20315623.9,0,0,84,135.3,89.3,139.8,2444.7,6.9
Multifamily Housing,4,86,262881,1,6247641.5,4668197.5,0,0,45.3,92.9,47.8,97.7,1140.3,4.7
Multifamily Housing,4,61,628921,1,12050982.7,23409626.6,0,0,74.4,122.4,78.1,125.3,2964.6,6.2
Multifamily Housing,4,86,616050,1,18610535.6,0,0,0,36.4,102.1,38.7,108.5,2658.1,5.2
Multifamily Housing,3,64,990049,1,17422733.1,50658601,0,0,78.9,118.2,85.9,125.4,5179.1,6
Multifamily Housing,3.5,72,1046220,1,16766520.2,37765825.2,0,14292612,85.9,124.3,88,127.5,0,0
Multifamily Housing,4,97,574600,1,8125548.3,16666344.6,0,0,43.1,70.1,45.7,71.7,2045.8,3.6
Multifamily Housing,1.5,37,331474,1,6974878.6,22219874.9,0,0,95.6,140.4,94.4,136.8,2176.4,7.1
Office,3,69,557345,1,21373300.3,0,0,0,46.7,130.7,48.6,136.1,3052.7,6.7
K-12 School,1,13,53422,2,2182513.8,3200370,0,0,100.8,177.3,109.2,188.3,481.7,9
K-12 School,2.5,51,264710,5,8104308.6,10715380.2,0,0,71.1,128.2,75.7,133,1726.7,6.5
K-12 School,1,20,144504,1,2955632.4,13352909.9,0,0,112.9,154.3,123.6,165.5,1131.4,7.8
K-12 School,1,11,192250,3,10327888.6,9768640,0,0,104.5,203.8,109.3,205.7,1994,10.4
K-12 School,1,9,206018,3,9961770.7,15439928.9,0,0,123.3,214.1,130.8,220.1,2242.9,10.9
K-12 School,4,61,383631,5,10570597.8,10260399.8,0,0,54.3,105.2,56.7,107.8,2054.7,5.4
K-12 School,1,18,233791,1,9973675.2,17409900.1,0,0,117.1,197.6,124.4,203.2,2349.2,10
K-12 School,1,10,303310,2,20098833,7170129.8,0,0,89.9,210.4,92.7,213.2,3251.5,10.7
K-12 School,1,16,284691,2,14122056.5,13609400.2,0,0,97.4,189.1,104.1,196.1,2739.9,9.6
K-12 School,4,84,398320,3,6507755.4,14389310.7,0,0,52.5,83.7,57.6,89,1693.8,4.3
K-12 School,2.5,60,388970,3,11555713.8,11897610.7,0,0,60.3,115.3,65.1,120.4,2282.4,5.9
K-12 School,4,90,248453,1,3242281.3,8659860.4,0,0,47.9,73.1,53.1,78.6,923.1,3.7
K-12 School,1,3,430443,3,26119870,37123716.8,0,0,146.9,260.5,156.9,271,5702.4,13.2
Office,1,17,59000,1,4963951.6,3399031.4,0,0,141.7,296.1,147.1,299.6,889.5,15.1
Office,2,44,62660,1,4130836.7,3029055.2,0,0,114.3,235.3,118.5,237.1,750.9,12
Office,4,100,160280,1,676532.7,3128032.6,0,0,23.7,32.3,26.1,34.8,262.8,1.6
Multifamily Housing,1,10,369939,14,17338999.2,12757467.7,0,0,81.4,167.4,83.7,169.9,3154.1,8.5
Office,1,30,411500,1,23528800.6,36977312.5,0,0,147,254.5,154.6,260.7,5324.6,12.9
Hospital (General Medical & Surgical),2.5,51,312898,2,35409974.8,28610401.1,0,0,204.6,412.9,204.4,408.2,6577.1,21
Hospital (General Medical & Surgical),4,96,492653,1,24207621.4,42801849.4,0,0,189.7,319.1,195.1,324.7,5730.9,16.2
Mixed Use Property,2,44,1397263,10,87801473.7,81532463.2,0,0,211.8,414.6,209.9,411.6,16871,21.1
Office,3.5,71,1587805,1,73288122.2,3583407.5,0,0,51,138.7,51.7,140.7,10657.8,7.1
Retail Store,1,30,74536,1,3324042.1,3330796.8,0,0,89.3,171.8,94,174.1,651.7,8.7
Retail Store,3.5,60,52875,1,1541367.6,2156922.7,0,0,69.9,124.5,73.2,124.9,334.7,6.3
Supermarket/Grocery Store,4,61,76290,1,10062346.3,2878760.1,0,0,169.6,408.9,172.2,408.3,1590.1,20.8
Office,4,87,1181159,1,27243223.2,18736405.4,0,16852523.4,53.2,94.2,53.8,95,6131.5,5.2
Hotel,3.5,72,178845,1,7087809,6880700.2,0,0,78.1,151.4,82,155.5,1377.8,7.7
Hospital (General Medical & Surgical),1,2,373995,2,40004915.2,67648973.9,0,0,287.8,489.4,297.5,495.4,9306.9,24.9
Office,1,10,53053,1,6947343.8,72071.8,0,0,132.3,368.1,132.5,368.3,996.1,18.8
Office,3,42,161166,1,6942246.3,12808070.3,0,0,122.5,204.1,132.7,214.7,1671.8,10.4
Office,1.5,33,162153,1,9529009.7,8375340.9,0,0,110.4,218.8,114.5,221.7,1805.8,11.1
Office,3,43,167574,1,10302141.6,4111797.5,0,0,86,197.9,87.5,202.1,1689.8,10.1
Office,4,76,180547,1,5846649.7,9616595.5,0,0,85.6,146.6,92,151.8,1345.8,7.5
Office,1,15,181983,1,25414674.4,0,0,0,139.7,391,139.7,391,3629.9,19.9
Office,3,43,335281,1,17552825.9,14959699.1,0,0,97,193.4,101.2,197.9,3301.6,9.8
Multifamily Housing,1,23,145000,1,6003257,3365690.3,0,0,64.6,140.3,67.9,146.9,1036.2,7.1
Office,3,64,188172,1,10617345.6,0,0,0,56.4,158,58.3,163.2,1516.4,8.1
Mixed Use Property,2.5,34,1976978,1,63564434,76731292.8,0,0,92.7,170.9,95.2,173.4,13154.3,8.7
Residence Hall/Dormitory,4,65,318360,1,6708319.6,19904099.9,0,4508291.6,97.8,137.5,103.1,143.5,2252.9,7.1
Multifamily Housing,3,42,1173350,1,43090557.4,13808831.6,0,0,61.3,145.7,64.4,152.1,6887.9,7.4
Multifamily Housing,1,29,239568,1,5412261.1,11174500.2,0,0,101.2,164,109,171.6,1366.5,8.3
Office,2,41,387041,1,10159840.7,5611220.1,0,0,95,206.8,97.8,206.2,1749.1,10.5
Senior Living Community,4,88,144411,2,4121900.7,5139800,0,0,64.1,117.3,67.9,121.3,861.7,6
Senior Living Community,2.5,59,76788,1,4016657.6,1696740.1,0,0,74.4,169.7,76.6,172,663.8,8.6
Office,4,80,108520,1,2871793.4,5148360.2,0,0,76.4,128.1,82,132.6,683.6,6.5
Multifamily Housing,1,26,434888,1,19967880.4,0,0,0,63.4,150.1,0,0,3201.3,7.6
Mixed Use Property,3.5,73,596696,2,14239879.6,11872077.3,0,0,62.8,125.8,65,127.2,2664.4,6.4
Multifamily Housing,4,66,287883,1,3858780.9,11308571.9,0,0,87.2,130.4,93.6,136.4,1151.8,6.6
Multifamily Housing,4,88,252000,1,3701900.6,13769945.8,0,0,69.3,98.5,75,103.3,1260.1,5
Multifamily Housing,3,62,486911,1,8657735,28234118.2,0,0,86.3,126.1,92.8,131.8,2736.2,6.4
Multifamily Housing,4,86,425305,1,7919589.8,14795544.7,0,0,62.7,104.1,66.4,106.6,1917,5.3
Multifamily Housing,4,96,250200,1,1584135.6,13826466.9,0,0,69.8,85.8,76.7,93.1,960.6,4.4
Office,4,81,188368,1,5040196.2,6917849.8,0,0,63.5,113.5,68,118.2,1087.3,5.8
Office,1,29,140445,1,5784524,6528.6,0,0,68.1,190.6,68.1,190.6,826.5,9.7
Office,2.5,59,140923,1,6921381.9,0,0,0,49.1,137.5,49.8,139.5,988.6,7
Office,3.5,74,109032,1,3906654.7,3091270.1,0,0,64.2,130.1,67.2,132.5,722.2,6.6
Office,4,82,150246,1,3069546.8,6966589.8,0,0,66.8,105.9,72.4,111.7,808.4,5.4
Office,4,83,50078,1,1064067.3,1320017.9,0,0,47.6,87.2,50.5,89.9,222.1,4.4
Office,3.5,77,73332,1,2961168.7,0,0,0,40.4,113.1,41.5,116.1,422.9,5.8
Multifamily Housing,4,71,104142,1,1616056.3,7483439,0,0,87.4,118.9,94.1,124.7,628.3,6
Multifamily Housing,3.5,73,175440,1,2709302,10858158.1,0,0,77.3,108.2,84.4,114.8,963.7,5.5
Multifamily Housing,1,8,122496,1,4165721,2722655.1,0,0,94.8,199.9,98.6,203.9,739.6,10.2
Retail Store,3.5,78,346960,1,6012452.4,868321.6,0,0,47.7,123.1,48.1,122.2,904.9,6.3
Multifamily Housing,2,43,582180,1,15501865.8,19207748.1,0,0,68.8,126.1,71.6,127.6,3234.3,6.4
Multifamily Housing,4,81,137739,1,1756463.8,8673599,0,0,75.7,101.8,82.4,108.3,711.6,5.2
Multifamily Housing,3,50,136591,1,1989857.9,11023651.7,0,0,95.3,125.5,104.7,134.8,869.7,6.4
Multifamily Housing,4,92,76037,1,1292506.5,2442400,0,0,58.5,96.9,61.1,98.3,314.3,4.9
Multifamily Housing,2.5,38,330112,3,5139505.8,31790506.2,0,0,111.9,144.7,120.9,153.1,2422.6,7.3
Multifamily Housing,1,17,224173,1,3901246.7,19435825.3,0,0,118.1,158.5,131.8,172.9,1589.5,8
Multifamily Housing,4,95,181723,1,2294498.7,6214512.8,0,0,56.7,86.3,59.6,89.4,657.8,4.4
Multifamily Housing,4,90,76037,1,1311040.5,2627791.3,0,0,61.7,100.8,64.3,102.1,326.8,5.1
Multifamily Housing,4,91,76037,1,1317513.1,2503132.2,0,0,59.9,99,62.4,100.2,321.1,5
Multifamily Housing,4,91,279996,1,2989965.6,15283708.2,0,0,65.3,87.2,71.8,94.1,1238.8,4.4
Multifamily Housing,2.5,53,167825,1,2236235,13057973.4,0,0,91.1,119,100.2,128.5,1013,6
Multifamily Housing,4,89,316737,2,4510858.5,11009698.3,0,0,55.3,86.1,57.9,87.9,1229,4.4
Multifamily Housing,3,67,875999,1,27824382.3,26831498.2,0,0,66.9,129.8,70.9,133.4,5399.2,6.6
Multifamily Housing,4,98,99693,1,1382975,6974337.5,0,0,83.8,112.3,92.3,121.2,568,5.7
Multifamily Housing,4,66,347216,2,6563125.3,16185406.5,0,0,74.5,115.9,80.2,121.8,1797.1,5.9
Multifamily Housing,4,86,335000,1,3797552.6,14424999.9,0,0,63.9,90.5,68.9,94.8,1308.6,4.6
Multifamily Housing,2.5,58,167175,1,3569532,5503599.6,0,0,73.7,128.1,77.2,130.9,802.1,6.5
Multifamily Housing,3.5,71,318000,1,5957304.2,14661847.5,0,0,71.6,111.4,77.2,117.3,1629.6,5.7
Multifamily Housing,3.5,77,605856,1,10170312.2,25227300.3,0,0,58.4,90.7,62.4,94.2,2792.5,4.6
Multifamily Housing,3.5,51,449500,1,12745996.9,14335644.4,0,0,60.2,112.9,62.9,114.9,2581.9,5.7
Multifamily Housing,4,81,119250,1,1858383.3,6864389.2,0,0,73.1,104.1,77.6,107.5,630,5.3
Multifamily Housing,3.5,73,101428,1,2143835,6141553,0,0,81.7,122.8,85.4,126.7,632.4,6.2
Multifamily Housing,3.5,71,149351,1,5285641.8,473635.4,0,0,38.6,102.4,39.6,105.1,780.1,5.2
Multifamily Housing,3.5,78,475020,1,7594078.2,20008831.6,0,0,58.1,89,59.4,90.3,2147.4,4.5
Multifamily Housing,3,65,263400,1,7973676.8,1584900,0,0,41.9,105.3,44.8,113.2,1223,5.4
Office,4,96,119405,1,2171902.8,2207951.9,0,0,36.7,70.3,38.9,72.6,427.5,3.6
Multifamily Housing,3,44,290751,1,5259468.3,12691620,0,0,91.5,143,97.6,149.4,1425.3,7.3
Multifamily Housing,4,92,399042,2,7557395.8,8814160.6,0,0,48,89.2,46.9,86.2,1547.6,4.5
Multifamily Housing,4,70,255605,1,6600776.7,10504300,0,0,66.9,115.5,70.7,119.4,1500.7,5.9
Multifamily Housing,4,99,331464,2,5087718.5,5622418.5,0,0,42.2,79.5,43.6,79.7,1025.3,4
Multifamily Housing,3.5,80,131782,1,1893378.5,7489491.9,0,0,71.2,99.9,77.3,105,668.2,5.1
Office,3.5,74,105231,1,3848227.6,2518870,0,0,66.6,140.3,68.3,139.9,683.4,7.1
Multifamily Housing,2.5,40,329098.8,1,7693971.3,16045407.7,0,0,86.4,139.7,90.9,143.2,1951.2,7.1
Multifamily Housing,3.5,51,154113,1,2867860.4,13635582.2,0,0,107.1,145,114.4,150.8,1133.9,7.4
Multifamily Housing,2,44,179090,1,3124563.6,16517017.8,0,0,109.7,145.7,119.6,155,1323.6,7.4
Office,3,45,61971,1,1946395.9,5277800.1,0,0,116.6,177.4,121,182.8,558.3,9
Hotel,1,14,160000,1,11329006.9,9182700.5,0,0,128.2,258.5,134.9,269.1,2105.8,13.2
Multifamily Housing,3.5,77,303222,1,6977993.8,6901391.4,0,0,54.8,105.7,55.9,105.4,1363.2,5.4
Office,4,98,140000,1,1661978.4,2792999.8,0,0,31.8,54.2,33.7,55.3,385.7,2.8
Senior Living Community,3.5,59,89268,1,3722805.9,4976096.8,0,0,97.4,175.3,101.5,177,796,8.9
Medical Office,1,20,71110,1,4025017,5365774.2,0,0,132.1,237.7,139.5,242.5,859.9,12.1
Multifamily Housing,4,64,514099,1,8333267.5,27386302.3,0,0,82.2,119.9,87.3,123.7,2644.8,6.1
Multifamily Housing,2.5,33,413860,1,8076777.2,26848497.6,0,0,104.9,152.6,113.7,160.8,2579.6,7.7
Senior Living Community,1,25,101939,1,5281294.9,9285499.6,0,0,159.6,268.8,165.1,271.3,1247.5,13.7
Supermarket/Grocery Store,3,68,55600,1,7548282.3,5703399.7,0,0,238.3,487.8,245.7,493,1381,24.8
Retail Store,4,80,119178,1,3705148.8,4651893.4,0,0,70.1,128,74.8,132.9,776.3,6.5
Supermarket/Grocery Store,3.5,53,85209,1,11178865.3,7285700.2,0,0,216.7,457.1,223.6,461.8,1983.6,23.3
Supermarket/Grocery Store,1.5,40,70262,1,10597078.3,6598099.7,0,0,244.7,520.9,252.6,523.6,1864,26.5
Hotel,1.5,31,150626,1,4284639.5,13467410,0,4357176.3,180.2,245.4,183.7,249.6,0,0
Supermarket/Grocery Store,3.5,51,70022,1,9846578.2,7051000,0,0,241.3,499.5,252.3,508.3,1780.9,25.4
Supermarket/Grocery Store,2.5,59,70790,1,10361292.1,6028300,0,0,231.5,499.2,236.2,498.6,1800.1,25.4
Supermarket/Grocery Store,4,66,65000,1,7830765.2,6608900,0,0,222.1,444.1,228.2,445.5,1469.5,22.6
Hotel,1,24,72000,1,4734880.2,5436140.4,0,0,141.3,263.4,141.3,263.4,965,13.4
Multifamily Housing,3,44,1014137,1,25964449.9,19230411.1,0,20267927.6,80.3,136.5,79.4,138.6,0,0
Multifamily Housing,4,73,384000,1,6243455,20132070,0,0,75.4,110.3,79.8,113.5,1961,5.6
Supermarket/Grocery Store,2.5,54,55024,1,8675958.5,4931399.7,0,0,247.3,535.6,255,540.6,1501.1,27.3
K-12 School,1,26,50060,1,1429282.4,3291360.1,0,0,94.3,149,101.3,154.5,379,7.6
K-12 School,1,19,50560,1,1846546.8,2773719.9,0,0,91.4,159.9,99,167.9,411.1,8.1
K-12 School,1,16,51900,1,1763753.6,3707080,0,0,105.4,170.2,113.5,178.6,448.8,8.6
K-12 School,1,7,209971,3,11126661.7,15076720.1,0,0,124.8,223.8,134.8,236.9,2390,11.4
K-12 School,1.5,33,53097,1,903017.2,4560260.1,0,0,102.9,137.8,113.1,148.6,371.2,7
K-12 School,1.5,37,70993,3,1126523.7,5907540,0,0,99.1,131.8,108.4,141.6,474.7,6.7
K-12 School,1,12,56330,1,3118669.7,1232390,0,0,77.2,178,80.3,181.2,510.9,9.1
K-12 School,2,18,214541,2,6943095.9,17939677.5,0,0,116,178.4,126.9,189.9,1944.5,9.1
K-12 School,1,27,100107,1,4232664.5,2557080,0,0,67.8,145.2,71.3,148.8,740.4,7.4
K-12 School,2.5,54,56385,2,850209,3729210,0,0,81.2,111.7,88.9,119.7,319.5,5.7
K-12 School,3,69,58580,1,813153.3,3099840.1,0,0,66.8,94.4,73.4,101.4,280.8,4.8
K-12 School,1,7,55250,5,2429842.2,3988990.1,0,0,116.2,199,125.9,209.1,558.9,10.1
Office,2,44,130000,1,3148745.8,1748645.8,0,0,72,156.7,75.7,160.5,542.6,8
K-12 School,1.5,40,55148,1,1334931.4,3157689.9,0,0,81.5,127.9,88.4,135.2,358.4,6.5
K-12 School,3,65,132724,1,3610496.5,2938939.9,0,0,49.3,99.4,52.5,102.7,671.8,5.1
K-12 School,3.5,74,58527,2,858433.3,2659020.2,0,0,60.1,88.8,66.1,95.1,263.8,4.5
K-12 School,1,14,60718,1,3804987.3,21830,0,0,63,175.8,65.1,181.5,544.6,9
K-12 School,2.5,60,77706,2,1025574.2,4862419.7,0,0,75.8,102.7,84.5,111.8,404.7,5.2
K-12 School,1,30,103578,4,3069387.4,5214089.9,0,0,80,135.8,86.2,139.4,715.3,6.9
K-12 School,3.5,53,93947,3,1709690.4,4832050.1,0,0,69.6,105,76,111.6,500.8,5.3
K-12 School,3.5,73,99233,2,1200603.3,5276949.7,0,0,65.3,89.7,72.8,97.6,451.8,4.6
K-12 School,1,29,58108,1,764063.8,5910759.8,0,0,114.9,143.6,127.9,158.1,423.1,7.3
K-12 School,1,18,59692,2,1443994.9,5505860.3,0,0,116.4,164.6,127.4,176.1,498.7,8.4
K-12 School,2.5,52,140770,2,3581777.7,5116980.2,0,0,61.8,109.4,65.9,113.7,783.4,5.6
K-12 School,1,26,62706,1,1783863.9,4128379.7,0,0,94.3,148.8,103.1,158,474.1,7.6
K-12 School,1,30,60929,1,1034456.3,5518120.4,0,0,107.5,142.6,120.6,156.4,440.8,7.2
K-12 School,1,7,57743,1,1518697.2,7093339.7,0,0,149.1,202.6,165.1,220.8,593.7,10.3
K-12 School,2,48,63257,2,1369931.6,3523520.3,0,0,77.4,119.1,84.7,126.8,382.8,6.1
K-12 School,1.5,32,86191,2,2598155.1,4492300.2,0,0,82.3,139.1,89.6,149,609.7,7.1
K-12 School,3,46,64558,1,1344307.5,3833870.2,0,0,80.2,120.7,87.2,128,395.6,6.1
K-12 School,2,48,105920,3,2805835.7,4517490.1,0,0,69.1,119,74.1,124.1,640.7,6
K-12 School,1.5,33,82050,2,3180227.6,2180409.9,0,0,65.3,136.4,68.9,140.1,570,6.9
K-12 School,1.5,35,63929,1,1735929.4,3563560,0,0,82.9,134.6,89.7,141.7,437.2,6.8
K-12 School,1,6,138015,2,6324261.4,9940169.8,0,0,117.8,203.9,125.7,211,1431.2,10.4
K-12 School,2,48,93518,2,2638579.1,3017109.8,0,0,60.5,112.9,65.1,117.8,537.1,5.7
K-12 School,2,41,63900,1,2341304.5,1475260,0,0,59.7,126.8,61.4,127.4,412.8,6.5
K-12 School,2,47,111660,4,2630011.9,5164230,0,0,69.8,114.5,75,119.9,649.9,5.8
K-12 School,2,49,81712,2,2421100.3,2591220.2,0,0,61.3,116.3,65.7,120.8,483.4,5.9
K-12 School,1,25,101294,2,3375185.9,5475089.7,0,0,87.4,150.1,96.6,163.4,772.9,7.6
K-12 School,1,13,67900,1,4336512.1,0,0,0,63.9,178.8,67.8,189.8,619.4,9.1
K-12 School,3.5,72,75176,2,1110127,3566300.1,0,0,62.2,91.2,68.4,97.6,348,4.6
K-12 School,1,10,73770,2,4015053.9,2490930,0,0,88.2,187.8,92.8,192.7,705.8,9.6
K-12 School,4,88,67595,1,685735.2,2738170.1,0,0,50.7,70.9,55.8,76.4,243.4,3.6
K-12 School,1,16,68408,1,3210576.3,2700869.8,0,0,86.4,172.9,89.1,171.8,602,8.8
K-12 School,2,47,67964,1,2038898.6,2305850.3,0,0,63.9,119.6,68.6,124.6,413.7,6.1
K-12 School,1.5,35,70436,1,2673261.1,960541.3,0,0,67.6,158,71.5,164.8,432.8,8.1
K-12 School,1,18,62071,1,2440657.9,3165139.8,0,0,90.3,163.6,96.7,170.4,516.7,8.3
K-12 School,1,24,63979,3,1860302.9,4302159.9,0,0,96.3,152,104.6,160.7,494.2,7.7
